titulo,url,dia,mes,ano
Homem é preso pela Polícia Civil por suspeita de envolvimento com roubos em Muriaé e região,https://g1.globo.com/mg/zona-da-mata/noticia/2018/07/23/homem-e-preso-pela-policia-civil-por-suspeita-de-envolvimento-com-roubos-em-muriae-e-regiao.ghtml,23,7,2018
10 mil pessoas foram indenizadas por invalidez após acidente de trânsito em 2018 no Ceará,https://g1.globo.com/ce/ceara/noticia/2018/07/23/10-mil-pessoas-foram-indenizadas-por-invalidez-apos-acidente-de-transito-em-2018-no-ceara.ghtml,23,7,2018
"Após agressão e briga, jovem é baleado e morre em Tiros",https://g1.globo.com/mg/triangulo-mineiro/noticia/2018/07/23/apos-agressao-e-briga-jovem-e-baleado-e-morre-em-tiros.ghtml,23,7,2018
Polícia procura dupla que fez duas mulheres reféns durante roubo de veículo em Sacramento,https://g1.globo.com/mg/triangulo-mineiro/noticia/2018/07/23/policia-procura-dupla-que-fez-duas-mulheres-refens-durante-roubo-de-veiculo-em-sacramento.ghtml,23,7,2018
PRE recomenda que igrejas não promovam propaganda eleitoral,https://g1.globo.com/ma/maranhao/noticia/2018/07/23/pre-recomenda-que-igrejas-nao-promovam-propaganda-eleitoral-no-maranhao.ghtml,23,7,2018
Motorista de veículo escolar embriagado causa acidente com ônibus em Uberlândia,https://g1.globo.com/mg/triangulo-mineiro/noticia/2018/07/23/motorista-de-veiculo-escolar-embriagado-causa-acidente-com-onibus-em-uberlandia.ghtml,23,7,2018
Polícia invade festa de facção criminosa no Ceará e prende seis,https://g1.globo.com/ce/ceara/noticia/2018/07/23/homens-sao-presos-com-armas-e-drogas-em-festa-de-faccao-criminosa-na-grande-fortaleza.ghtml,23,7,2018
Adolescente morre afogado no Rio Preguiças em Barreirinhas,https://g1.globo.com/ma/maranhao/noticia/2018/07/23/adolescente-morre-afogado-em-rio-no-maranhao.ghtml,23,7,2018
Acidente deixa mortos e feridos na BR-262 próximo a Nova Serrana; policiais estão entre as vítimas,https://g1.globo.com/mg/centro-oeste/noticia/2018/07/23/acidente-deixa-mortos-e-feridos-na-br-262-proximo-a-nova-serrana-policiais-estao-entre-as-vitimas.ghtml,23,7,2018
Filme gravado no interior com atores locais é inspirado em casos de violência doméstica,https://g1.globo.com/ap/amapa/noticia/2018/07/23/filme-gravado-no-interior-com-atores-locais-e-inspirado-em-casos-de-violencia-domestica.ghtml,23,7,2018
Três mil bombeiros militares passaram por atendimento psicológico em 2017 no AP,https://g1.globo.com/ap/amapa/noticia/2018/07/23/tres-mil-bombeiros-militares-passaram-por-atendimento-psicologico-em-2017-no-ap.ghtml,23,7,2018
"Você viu? Ex-juiz é preso, UFMA é condenada por erro médico e outras notícias do G1 MA",https://g1.globo.com/ma/maranhao/noticia/2018/07/22/voce-viu-ex-juiz-e-preso-ufma-e-condenada-por-erro-medico-e-outras-noticias-do-g1-ma.ghtml,22,7,2018
"Confira as imagens da noite de abertura da 35ª Expoari, em RO",https://g1.globo.com/ro/ariquemes-e-vale-do-jamari/noticia/2018/07/22/confira-as-imagens-da-noite-de-abertura-da-35a-expoari-em-ro.ghtml,22,7,2018
Unidade católica de apoio a dependentes químicos e viciados é inaugurada no AP,https://g1.globo.com/ap/amapa/noticia/2018/07/22/unidade-catolica-de-apoio-a-dependentes-quimicos-e-viciados-e-inaugurada-no-ap.ghtml,22,7,2018
Parque do Pau Furado ainda tem reflexos do incêndio que devastou parte da reserva em Uberlândia,https://g1.globo.com/mg/triangulo-mineiro/noticia/2018/07/22/parque-do-pau-furado-ainda-tem-reflexos-do-incendio-que-devastou-parte-da-reserva-em-uberlandia.ghtml,22,7,2018
Animais são resgatados em situação de maus-tratos e desnutrição em Fortaleza,https://g1.globo.com/ce/ceara/noticia/2018/07/22/dezessete-animais-sao-resgatados-em-situacao-de-maus-tratos-e-subnutricao-em-fortaleza.ghtml,22,7,2018
